Name,System,Developer,Publisher,Genre,Rating,Column 1,Column 2
Bomberman '93,PCENGINE,NEC,Hudson,Action / Labyrinth,0.85,,
Bomberman '94,PCENGINE,Hudson,Hudson,Action / Labyrinth,0.8,,
Bomberman 64,N64,Hudson,Nintendo,"Action / Adventure, Platform, Action",0.6,,
Bonanza Bros.,FBNEO,SEGA,SEGA,Platform / Shooter Scrolling,0.7,,
Bonk III : Bonk's Big Adventure,PCENGINE,Hudson,Turbo Technologies,Platform,0.75,,
Bonk's Adventure,GB,Red Company,Hudson,Platform,0.6,,
Bonk's Adventure,PCENGINE,Atlus,Hudson,Platform,0.8,,
Bonk's Adventure - Arcade Version,FBNEO,Red Company,Kaneko,Platform / Run Jump Scrolling,0.6,,
Bonk's Revenge,PCENGINE,Red Company,NEC,Platform,0.8,,
Boogie Wings,FBNEO,Data East,Data East,"Shooter, Shooter / Horizontal, Shoot'em Up / Horizontal, Shoot'em Up",0.8,,
Bookworm,GBA,PopCap Games,Majesco,Puzzle-Game,0.65,,
Bouken Danshaku Don - The Lost Sunheart,PCENGINE,Manjyudo,I'Max,Shoot'em up / Horizontal,0.8,,
Boulder Dash,COLECOVISION,First Star Software,Micro Fun,Puzzle-Game,0.6,,
Boulder Dash,ZXSPECTRUM,First Star Software,K-Tel Software,Action,0.7,,
Boulder Dash II - Rockford's Riot,ZXSPECTRUM,First Star Software,Prism Leisure Corporation Plc,Action,1,,
Boulder Dash III,ZXSPECTRUM,First Star Software,Prism Leisure Corporation Plc,Action,,,
Bound High!,VIRTUALBOY,Japan System Supply,Nintendo,Various,0.6,,
Bounty Bob Strikes Back,ZXSPECTRUM,Big Five Software,Big Five Software,Action,0.7,,
Brain Strainers,COLECOVISION,Carousel Software,Coleco,Music and Dance,0.7,,
BraveStarr,ZXSPECTRUM,Probe Software Ltd.,Go!,Action,,,
Break Time : The National Pool Tour,NES,Opera House,FCI,"Sports, Sports / Pool",0.4,,
Breakers Revenge,FBNEO,Visco,SNK,Fight / Versus,0.75,,
Breakers Revenge,NEOGEO,Visco,SNK,Fight / Versus,0.75,,
Breath of Fire,GBA,Capcom,Capcom,Role Playing Games,0.6,,
Breath of Fire,SNES,Capcom,Squaresoft,Role playing games,0.7,,
Breath of Fire II,SNES,Capcom,Capcom,Role playing games,0.8,,
Breath of Fire III (USA),PSX,Capcom,Infogrames,Role Playing Game,0.8,,
Breath of Fire IV (USA),PSX,Capcom,Capcom,Role Playing Game,0.8,,
Bruce Lee : Return of the Legend,GBA,Vicarious Vision,Universal Interactive,Platform,0.8,,
Brutal Sports Football,JAGUAR,Teque,Telegames,Sports / Football,0.65,,
Brutal Unleashed : Above the Claw,SEGA32X,GameTek,GameTek,Fight,0.5,,
Bubble and Squeak,MEGADRIVE,Fox Williams,Audiogenic Software,Action,0.7,,
Bubble Bobble,FBNEO,Taito,Taito,"Platform, Platform / Run Jump",0.8,,
Bubble Bobble,MASTERSYSTEM,Taito,SEGA,Platform,0.8,,
Bubble Bobble,NES,Taito,Taito,Platform,0.8,,
Bubble Bobble,ZXSPECTRUM,Taito,Firebird,Action,0.75,,
Bubble Bobble also featuring Rainbow Islands,SATURN,Probe Software,Acclaim,"Compilation, Action",0.8,,
Bubble Bobble Part 2,GB,Taito,Taito,Platform,0.7,,
Bubble Memories: The Story of Bubble Bobble III,FBNEO,Taito,Taito,Platform / Run Jump,0.7,,
Bubble Symphony,FBNEO,Taito,Taito,Platform / Run Jump,0.8,,
Bubbles,FBNEO,Williams,Williams,Action / Labyrinth,0.7,,
Bubsy in Fractured Furry Tales,JAGUAR,Imagitec Design,Atari,Platform,0.4,,
Buck Rogers: Planet of Zoom,COLECOVISION,SEGA,"Coleco Industries, Inc.",Action,0.4,,
Buck Rogers: Planet of Zoom,FBNEO,SEGA,SEGA,"Shooter / Plane, 3rd person",0.5,,
Bucky O'Hare,FBNEO,Konami,Tatsumi,"Shooter / Run And Gun, Shooter",0.6,,
Buffy the Vampire Slayer : Wrath of the Darkhul King,GBA,Natsume,THQ,Platform,0.6,,
Buggy Boy,ZXSPECTRUM,Maz H. Spork,Elite Systems,"Race, Driving",0.7,,
Bull Fight - Ring No Haja,PCENGINE,Cream,Cream,Sports / Boxing,0.7,,
Bulls versus Blazers and the NBA Playoffs,MEGADRIVE,EA Sports,Electronic Arts,"Sports, Sports / Basketball",0.6,,
Bump 'n' Jump,COLECOVISION,Data East,Coleco,"Race, Driving",,,
Burger Time,FBNEO,Data East,Data East,Platform / Run Jump,0.9,,
Burgertime,COLECOVISION,Data East,Coleco,Action,0.85,,
Burning Fight,FBNEO,SNK,SNK,Beat'em Up,0.7,,
Burning Fight,NEOGEO,SNK,SNK,Beat'em Up,0.7,,
Burnout 2 : Point of Impact,GAMECUBE,Criterion Games,Acclaim,"Racing, Driving",0.9,,
Burnout 3 : Takedown,PS2,Criterion Games,Electronic Arts,"Racing, Driving",0.9,,
Burnout Revenge,PS2,Criterion Games,Electronic Arts,"Racing, Driving",0.85,,
Bushido Blade (USA),PSX,Light Weight,Squaresoft,Fighting,0.6,,
Bushido Blade 2 (USA),PSX,Light Weight,Squaresoft,Fighting,0.6,,
Bust-A-Move,SNES,Taito,Taito,Puzzle-Game,0.8,,
Bust-A-Move '99,N64,Distinctive Developments,Acclaim,"Puzzle-Game, Strategy",0.6,,
